,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
20,69.712,1.4,0.53,508.0,1457.825128,0.39,92.67004,1343875.0,90.37,19.26,12.32,76.372,75.592,35.1,368.6796571,8.6,9.7,2.98991322,5.406000000000001,0.606,41.0,53.0
21,71.018,11.5,0.43,10.0,9921.881925999998,0.36819999999999997,242.37277,106759.0,148.28,10.79,11.54,33.8,50.8,43.8,231.2223331,15.0,1.8,3.834313623,6.65,0.725,51.8,56.0
22,59.626,13.3,5.52,174.0,1661.70211,0.38320000000000004,53.99585,27224262.0,57.59,72.79,0.42,34.508,58.65,30.2,274.4164765,5.5,12.3,2.38750358,2.56,0.563,27.0,44.0
23,76.306,15.2,0.93,92.0,11371.09902,0.39780000000000004,436.61203,32776195.0,99.76,16.04,1.38,38.544,65.47800000000001,35.0,255.5445432,19.0,0.4,2.784241424,7.24,0.81,48.0,76.0
24,78.078,33.5,0.92,7.0,16439.29645,0.3498,624.74445,5223376.0,16.88,41.12,0.32,68.522,95.65799999999999,30.7,486.2980457,13.8,0.8,4.222764307,3.0,0.813,52.0,69.0
25,71.301,3.8,0.88,84.0,897.0879,0.3256,61.87225,9749625.0,70.25,46.15,1.01,81.10999999999999,97.194,37.1,689.8812588,6.6,6.2,2.39036008,1.94,0.668,25.0,66.0
26,68.313,15.2,3.09,47.0,25936.8610482,0.2928,500.00644,6117933.0,13.02,21.77,0.5,73.334,97.08,37.0,554.8286378,6.7,7.8,2.142837111,1.66,0.715,19.0,73.0
27,72.066,19.6,3.56,47.0,1333.8012892,0.3922,338.82538,28704947.0,32.54,17.01,1.34,23.07,55.30799999999999,46.4,222.6939784,9.6,3.2,4.061778833,2.11,0.711,14.0,70.0
28,75.586,21.8,0.0,19.0,7838.42163432,0.3516,1758.67419,4328553.0,242.9,60.75,0.7,100.0,76.346,42.4,184.5761591,24.9,0.5,4.468881806,3.91,0.806,43.0,70.0
29,74.586,15.1,4.16,2.4,4586.65051,0.3,327.40353,2973462.0,274.56,13.4,1.23,72.74,79.88,45.6,199.5773018,11.1,0.6,5.944424607,7.13,0.734,44.0,70.0
30,65.173,5.2,0.013,193.0,16654.59808,0.359,65.80603,39835428.0,61.02,56.91,0.95,65.814,36.38,43.6,583.2145182,10.9,10.1,4.442284384,0.32,0.511,16.0,37.0
31,77.545,23.4,7.81,26.0,6916.438315,0.32680000000000003,553.82294,3263459.0,63.74,27.75,13.28,60.836,83.32199999999999,39.4,343.5467505,9.1,0.3,4.77432192,5.04,0.78,35.0,65.0
32,61.916,11.2,7.45,103.0,236.7954142,0.36460000000000004,20.56754,12255429.0,477.24,38.9,0.41,68.868,84.464,30.5,296.8980095,6.5,8.8,4.220407809,2.13,0.433,19.0,44.0
